time left right
8000 -353 -388
8016 -352 -388
8033 -352 -388
8050 -351 -389
8066 -351 -389
8083 -351 -390
8100 -350 -390
8116 -350 -390
8133 -350 -391
8149 -349 -393
8166 -350 -395
8183 -350 -395
8200 -350 -395
8216 -350 -395
8233 -350 -396
8250 -351 -396
8266 -351 -394
8283 -351 -393
8300 -351 -393
8316 -351 -393
8333 -352 -392
8350 -351 -391
8366 -348 -390
8383 -340 -388
8400 -324 -387
8416 -298 -379
8433 -268 -362
8450 -236 -339
8466 -202 -312
8483 -171 -281
8500 -141 -243
8516 -113 -207
8533 -91 -174
8550 -72 -146
8566 -54 -122
8583 -38 -100
8600 -25 -78
8616 -14 -60
8633 -4 -45
8650 3 -32
8666 8 -20
8683 12 -10
8700 14 -2
8716 15 2
8733 15 6
8750 14 8
8766 13 9
8783 11 10
8800 9 10
8816 7 9
8833 5 8
8850 3 8
8866 2 7
8883 0 6
8900 0 5
8916 0 5
8933 -1 4
8950 -1 4
8966 -1 4
8983 -1 3
9000 0 3
