1;1
0;-2
-3;-1
-1;1
-3;-2
0;0
4;-2
-2;-2
1;-1
2;0
-2;0
2;0
-1;2
-3;1
2;-3
6;0
-1;1
3;0
0;-1
3;-1
2;-1
1;0
-3;-2
0;-2
0;-1
0;0
-2;3
2;-2
-2;0
6;-3
-1;-2
-3;-3
2;-4
-2;-4
3;-1
-1;-1
-1;-1
0;-1
-2;0
3;0
-2;-2
0;-5
1;-2
-1;0
0;-4
-1;-1
3;-1
1;-1
-1;2
-1;0
3;0
1;-1
-1;-1
0;-1
-3;0
2;0
-4;-1
1;-1
-4;-2
2;-2
3;-1
3;-1
2;-2
-2;-2
4;-3
4;-3
-1;0
2;-2
0;-1
0;-1
0;-2
-1;-1
1;-3
-1;-1
1;1
3;-2
1;0
-1;-4
2;-2
-1;0
3;-1
-3;-1
2;-2
0;-2
3;0
-5;1
5;-2
4;-3
0;0
3;1
-5;-5
1;4
2;-4
6;-9
3;9
-6;-3
4;9
-1;9
-5;-3
0;4
5;-8
-6;1
-3;-4
-2;1
-1;2
1;3
-1;-4
-1;-2
0;-2
5;1
-1;-2
1;2
2;1
2;-2
0;-2
1;-2
-2;-1
4;-3
0;1
3;3
-1;-3
4;2
-1;-5
-2;-2
3;3
2;-1
-1;-1
-1;0
3;-2
0;-1
3;-1
2;-1
2;0
-3;-1
1;1
-1;-2
1;-2
-1;-1
2;-2
3;1
2;0
1;0
1;3
0;-2
4;0
-2;-2
-2;0
3;0
1;-1
1;0
-4;-5
5;0
-2;-8
6;1
-1;-9
0;7
1;-4
-3;-5
1;5
4;-2
-1;-3
-4;4
3;-4
-3;-4
2;-1
-3;4
2;-4
-3;-2
-1;2
-3;-2
2;1
3;1
0;-2
3;0
-2;-5
2;1
3;2
3;-2
4;4
9;10
11;5
13;10
7;10
7;3
29;-2
-8;23
-10;-1
25;14
3;-27
2;8
9;-11
7;4
-2;8
-10;-11
-3;0
-8;-4
-10;6
-3;-7
-11;7
0;0
-9;-7
-8;-1
3;1
5;-3
-3;-1
-1;1
-5;-4
-5;-6
-2;-5
-5;-5
-6;-7
-1;-8
-2;-6
6;-15
0;-4
-5;-7
1;-5
0;-1
0;-6
2;-7
3;-3
3;-3
-2;-3
-2;-3
-4;2
0;-4
0;-4
-4;-8
-1;1
-9;-2
-1;-10
2;3
5;-1
-6;-3
-5;-4
-5;0
3;-1
5;-7
-4;0
1;0
1;6
-11;51
3;82
145;63
139;43
34;44
28;30
78;21
71;13
68;8
81;5
72;-8
72;-14
81;-18
85;-24
85;-31
85;-32
100;-47
97;-54
106;-54
72;-70
111;-70
116;-77
128;-86
113;-88
123;-93
127;-103
137;-107
134;-120
146;-130
144;-141
151;-142
152;-146
163;-155
155;-158
164;-165
163;-177
169;-179
173;-193
175;-202
178;-205
186;-214
190;-220
192;-218
197;-226
200;-232
202;-241
203;-244
209;-256
206;-257
214;-264
211;-276
222;-294
222;-307
208;-308
195;-300
187;-291
177;-264
170;-224
170;-202
172;-176
179;-172
178;-173
170;-177
164;-186
164;-189
105;-192
106;-190
139;-112
182;-52
221;13
268;86
398;169
398;265
607;372
746;497
902;672
1097;890
1292;1153
1514;1626
1733;1883
1966;2154
2196;2446
2689;2735
2942;3027
3221;3325
3503;3619
3844;3946
4147;4592
4444;4862
4709;5166
4942;5464
4990;5540
4975;5524
4983;5513
4971;5513
4961;5647
4957;5505
4959;5483
4938;5488
4956;5487
4927;5479
4941;5410
4927;5481
4908;5481
4906;5475
4896;5476
4914;5311
4910;5491
4895;5492
4873;5475
4872;5474
4880;5485
4874;5488
4846;5492
4844;5493
4846;5500
4843;5515
4818;5521
4831;5528
4825;5534
4808;5535
4811;5588
4810;5563
4821;5564
4793;5581
