time left right acc
5.15 351 343 0
5.17 350 343 0
5.18 349 342 0
5.20 349 341 0
5.22 348 341 0
5.23 348 341 0
5.25 347 340 0
5.27 346 340 0
5.28 346 339 0
5.30 345 339 0
5.32 345 339 0
5.33 345 339 0
5.35 345 339 0
5.37 344 339 0
5.38 344 339 0
5.40 344 339 0
5.42 344 339 0
5.43 343 339 0
5.45 343 339 0
5.47 345 340 1
5.48 344 340 0
5.50 344 340 0
5.52 343 341 0
5.53 342 341 0
5.55 342 341 0
5.57 342 342 0
5.58 342 342 0
5.60 342 343 0
5.62 342 343 0
5.63 342 343 0
5.65 342 343 0
5.67 342 343 0
5.68 342 343 0
5.70 344 343 1
5.72 343 343 0
5.73 343 343 0
5.75 343 343 0
5.77 341 343 1
5.78 338 340 5
5.80 332 338 7
5.82 322 335 11
5.83 308 327 22
5.85 288 315 31
5.87 261 299 42
5.88 229 276 53
5.90 196 249 60
5.92 164 215 65
5.93 133 178 66
5.95 108 146 57
5.97 86 116 50
5.98 65 90 45
6.00 49 69 36
6.02 37 52 28
6.03 28 39 22
6.05 21 29 15
6.07 14 20 14
6.08 9 14 11
6.10 5 9 8
6.12 2 4 6
6.13 0 0 5
6.15 0 -2 3
6.17 -1 -4 2
6.18 -2 -5 1
6.20 -1 -6 1
6.22 -1 -7 0
6.23 0 -8 0
6.25 0 -7 0
6.27 0 -7 0
6.28 0 -7 0
6.30 1 -7 0
6.32 1 -6 0
6.33 1 -6 0
6.35 2 -5 0
6.37 2 -5 0
6.38 2 -5 0
6.40 2 -4 0
6.42 2 -4 0
6.43 2 -4 0
6.45 2 -3 0
6.47 1 -3 0
6.48 1 -3 0
6.50 0 -3 0
6.52 0 -3 0
6.53 0 -4 0
6.55 0 -4 0
6.57 0 -4 0
6.58 0 -4 0
6.60 0 -4 0
6.62 0 -3 0
6.63 0 -3 0
6.65 1 -3 0
6.67 2 -3 0
6.68 2 -4 0
6.70 1 -6 1
6.72 -1 -10 6
6.73 -7 -18 14
6.75 -18 -33 25
6.77 -34 -52 34
6.78 -54 -74 42
6.80 -78 -99 49
6.82 -111 -126 58
6.83 -145 -154 62
6.85 -173 -190 62
6.87 -195 -219 51
6.88 -227 -256 68
6.90 -258 -291 65
6.92 -284 -321 54
6.93 -307 -349 50
6.95 -323 -372 38
6.97 -340 -387 31
6.98 -355 -399 26
7.00 -361 -404 10
7.02 -365 -409 8
7.03 -368 -410 3
7.05 -371 -411 3
7.07 -371 -411 0
7.08 -370 -411 0
7.10 -369 -411 0
7.12 -368 -411 0
7.13 -368 -410 0
7.15 -368 -409 0
7.17 -367 -409 1
7.18 -367 -407 1
7.20 -367 -406 1
7.22 -367 -406 0
7.23 -367 -406 0
7.25 -367 -405 0
7.27 -367 -405 0
7.28 -368 -405 0
7.30 -368 -405 0
7.32 -367 -405 0
7.33 -367 -404 0
7.35 -368 -404 0
7.37 -368 -404 0
7.38 -367 -404 0
7.40 -367 -404 0
7.42 -367 -404 0
7.43 -367 -404 0
7.45 -367 -404 0
7.47 -366 -404 0
7.48 -366 -404 0
7.50 -365 -405 1
7.52 -365 -406 0
7.53 -364 -406 0
7.55 -364 -406 0
7.57 -364 -406 0
7.58 -365 -407 0
7.60 -366 -408 1
7.62 -366 -408 0
7.63 -366 -409 0
7.65 -367 -409 0
7.67 -367 -410 1
7.68 -368 -411 0
7.70 -368 -410 0
7.72 -368 -410 0
7.73 -368 -410 0
7.75 -368 -410 0
7.77 -368 -411 0
7.78 -368 -410 0
7.80 -363 -410 4
7.82 -363 -410 0
7.83 -363 -410 0
7.85 -362 -410 1
7.87 -363 -410 0
7.88 -363 -410 0
7.90 -363 -410 0
7.92 -365 -412 4
7.93 -365 -411 1
7.95 -365 -411 0
7.97 -365 -410 0
7.98 -365 -409 1
8.00 -365 -409 0
8.02 -365 -408 0
8.03 -365 -406 1
8.05 -365 -406 0
8.07 -365 -405 0
8.08 -364 -404 0
8.10 -363 -404 0
8.12 -363 -402 1
8.13 -362 -402 0
8.15 -361 -402 0
8.17 -361 -402 0
8.18 -360 -401 0
8.20 -360 -401 0
8.22 -360 -401 0
8.23 -360 -401 0
8.25 -360 -401 0
8.27 -359 -401 0
8.28 -359 -400 0
8.30 -359 -400 0
8.32 -359 -400 0
8.33 -359 -400 0
8.35 -360 -400 1
8.37 -360 -400 0
8.38 -360 -400 0
8.40 -360 -400 0
8.42 -361 -401 0
8.43 -361 -401 0
8.45 -361 -402 0
8.47 -361 -402 0
8.48 -361 -402 0
8.50 -361 -403 0
8.52 -361 -404 1
8.53 -362 -405 0
8.55 -362 -405 0
8.57 -362 -405 0
8.58 -363 -407 1
8.60 -363 -407 0
8.62 -363 -407 0
8.63 -363 -407 0
8.65 -363 -406 0
8.67 -363 -406 0
8.68 -363 -407 0
8.70 -362 -406 0
8.72 -362 -406 0
8.73 -362 -406 0
8.75 -362 -406 0
8.77 -362 -406 0
8.78 -362 -407 0
8.80 -362 -407 0
8.82 -361 -407 0
8.83 -361 -404 2
8.85 -360 -404 0
8.87 -360 -403 0
8.88 -360 -403 0
8.90 -360 -403 0
8.92 -360 -402 0
8.93 -360 -402 0
8.95 -359 -402 0
8.97 -359 -402 0
8.98 -359 -402 0
9.00 -358 -401 0
9.02 -358 -400 0
9.03 -358 -400 0
9.05 -359 -398 1
9.07 -358 -398 0
9.08 -358 -398 0
9.10 -357 -398 0
9.12 -356 -398 0
9.13 -356 -397 0
9.15 -356 -397 0
9.17 -355 -397 0
9.18 -354 -397 0
9.20 -354 -396 0
9.22 -354 -396 0
9.23 -354 -396 0
9.25 -354 -396 0
9.27 -353 -396 0
9.28 -355 -396 1
9.30 -355 -396 0
9.32 -355 -397 0
9.33 -355 -397 0
9.35 -354 -396 1
9.37 -354 -396 0
9.38 -355 -397 1
9.40 -354 -398 0
9.42 -354 -399 1
9.43 -354 -400 1
9.45 -354 -401 1
9.47 -354 -402 0
9.48 -354 -402 0
9.50 -354 -402 0
9.52 -355 -403 0
9.53 -355 -403 0
9.55 -355 -403 0
9.57 -355 -402 0
9.58 -356 -402 0
9.60 -356 -403 0
9.62 -356 -403 0
9.63 -356 -403 0
9.65 -356 -403 0
9.67 -357 -403 0
9.68 -357 -403 0
9.70 -356 -403 0
9.72 -357 -403 0
9.73 -356 -402 0
9.75 -356 -402 0
9.77 -356 -400 2
9.78 -356 -400 0
9.80 -356 -401 0
9.82 -353 -400 2
9.83 -353 -400 0
9.85 -353 -400 0
9.87 -352 -399 0
9.88 -353 -399 0
9.90 -352 -398 0
9.92 -352 -398 0
9.93 -353 -397 0
9.95 -353 -396 0
9.97 -353 -396 0
9.98 -353 -395 1
10.00 -352 -395 0
10.02 -352 -395 0
10.03 -352 -395 0
10.05 -352 -394 0
10.07 -352 -394 0
10.08 -353 -394 0
10.10 -352 -394 0
10.12 -352 -392 1
10.13 -351 -392 0
10.15 -350 -392 0
10.17 -350 -392 0
10.18 -349 -392 0
10.20 -349 -392 0
10.22 -348 -392 0
10.23 -348 -393 0
10.25 -348 -393 0
10.27 -347 -394 0
10.28 -347 -394 0
10.30 -346 -394 0
10.32 -346 -395 0
10.33 -346 -397 1
10.35 -347 -399 3
10.37 -347 -399 0
10.38 -346 -398 0
10.40 -347 -398 0
10.42 -347 -400 1
10.43 -347 -399 0
10.45 -347 -398 1
10.47 -347 -397 0
10.48 -348 -397 0
10.50 -348 -396 0
10.52 -349 -396 0
10.53 -348 -394 1
10.55 -344 -393 4
10.57 -336 -392 9
10.58 -321 -391 16
10.60 -295 -383 34
10.62 -264 -366 46
10.63 -233 -343 53
10.65 -199 -316 60
10.67 -167 -285 61
10.68 -137 -247 66
10.70 -110 -210 63
10.72 -88 -177 54
10.73 -68 -150 46
10.75 -50 -126 40
10.77 -35 -104 37
10.78 -22 -82 35
10.80 -10 -64 28
10.82 -1 -49 24
10.83 6 -36 20
10.85 11 -24 16
10.87 15 -14 13
10.88 17 -6 9
10.90 18 -1 6
10.92 18 2 3
10.93 18 4 2
10.95 16 5 2
10.97 14 6 1
10.98 12 6 2
11.00 10 5 2
11.02 8 5 1
11.03 6 4 1
11.05 5 3 1
11.07 4 2 1
11.08 3 1 0
11.10 2 1 0
11.12 2 0 0
11.13 1 0 0
11.15 1 0 0
11.17 2 0 0
11.18 2 0 0
11.20 2 0 0
11.22 2 0 0
11.23 3 0 0
11.25 3 -1 0
11.27 3 -1 0
11.28 3 -1 0
11.30 4 -1 0
11.32 4 -2 0
11.33 4 -2 0
11.35 5 -2 0
11.37 5 -3 0
11.38 5 -3 0
11.40 6 -3 0
11.42 6 -3 0
11.43 6 -3 0
11.45 6 -3 0
11.47 7 -3 0
11.48 7 -3 0
11.50 6 -3 0
11.52 6 -3 0
11.53 6 -3 0
11.55 5 -3 0
11.57 5 -2 0
11.58 4 -2 0
11.60 3 -2 1
11.62 2 -1 0
11.63 1 -1 0
11.65 0 -1 0
11.67 0 -1 0
11.68 0 -1 0
11.70 0 -1 0
11.72 1 -1 1
11.73 2 -3 2
11.75 5 -7 5
11.77 9 -13 10
11.78 16 -23 15
11.80 26 -36 22
11.82 38 -53 29
11.83 56 -74 37
11.85 78 -98 46
11.87 123 -137 83
11.88 170 -174 84
11.90 209 -204 67
11.92 242 -248 76
11.93 277 -288 74
11.95 305 -322 62
11.97 328 -352 51
11.98 337 -367 24
12.00 340 -380 15
12.02 344 -391 14
12.03 348 -394 5
12.05 347 -395 1
12.07 347 -395 0
12.08 346 -394 0
12.10 346 -394 0
12.12 346 -393 0
12.13 346 -392 0
12.15 346 -392 0
12.17 345 -392 0
12.18 345 -391 0
12.20 345 -391 0
12.22 345 -391 0
12.23 345 -391 0
12.25 344 -391 0
12.27 344 -391 0
12.28 344 -391 0
12.30 345 -391 0
12.32 345 -391 0
12.33 345 -391 0
12.35 345 -392 0
12.37 344 -390 1
12.38 344 -390 0
12.40 344 -391 0
12.42 343 -392 0
12.43 343 -393 1
12.45 343 -394 0
12.47 343 -395 1
12.48 343 -398 2
12.50 343 -398 0
12.52 344 -398 0
12.53 344 -400 1
12.55 344 -399 0
12.57 344 -399 0
12.58 344 -399 0
12.60 344 -398 0
12.62 344 -398 0
12.63 345 -398 0
12.65 345 -398 0
12.67 345 -398 0
12.68 345 -398 0
12.70 345 -398 0
12.72 345 -398 0
12.73 346 -398 0
12.75 346 -398 0
12.77 346 -398 0
12.78 346 -399 1
12.80 347 -398 1
12.82 347 -398 0
12.83 346 -398 0
12.85 346 -397 0
12.87 345 -397 0
12.88 346 -396 0
12.90 346 -395 1
12.92 344 -394 1
12.93 344 -394 0
12.95 344 -393 0
12.97 344 -392 0
12.98 344 -391 0
13.00 344 -390 1
13.02 343 -390 0
13.03 343 -389 0
13.05 343 -389 0
13.07 342 -389 0
13.08 342 -388 0
13.10 342 -388 0
13.12 341 -389 0
13.13 341 -388 0
13.15 340 -387 0
13.17 340 -387 0
13.18 340 -387 0
13.20 339 -387 0
13.22 339 -387 0
13.23 339 -387 0
13.25 339 -387 0
13.27 338 -387 0
13.28 338 -388 0
13.30 337 -388 0
13.32 337 -389 0
13.33 337 -390 0
13.35 337 -389 0
13.37 336 -390 0
13.38 336 -390 0
13.40 335 -391 1
13.42 336 -393 2
13.43 336 -394 0
13.45 336 -394 0
13.47 336 -394 0
13.48 335 -393 0
13.50 335 -394 0
13.52 335 -394 0
13.53 335 -394 0
13.55 335 -394 0
13.57 335 -394 0
13.58 335 -394 0
13.60 336 -394 1
13.62 337 -394 0
13.63 337 -394 0
13.65 336 -394 0
13.67 336 -394 0
13.68 336 -394 0
13.70 337 -394 0
13.72 337 -394 0
13.73 336 -393 0
13.75 337 -393 0
13.77 337 -387 5
13.78 338 -387 0
13.80 338 -388 1
13.82 339 -388 0
13.83 339 -389 1
13.85 339 -389 0
13.87 339 -387 1
13.88 341 -390 3
13.90 339 -389 2
13.92 339 -388 0
13.93 339 -388 0
13.95 339 -384 3
13.97 339 -383 1
13.98 339 -383 0
14.00 337 -383 1
14.02 339 -384 1
14.03 338 -383 0
14.05 338 -383 0
14.07 338 -384 1
14.08 338 -384 0
14.10 338 -384 0
14.12 339 -384 0
14.13 339 -384 0
14.15 340 -384 0
14.17 340 -383 0
14.18 340 -383 0
14.20 340 -384 0
14.22 339 -384 0
14.23 338 -384 1
14.25 337 -384 0
14.27 335 -384 1
14.28 334 -382 3
14.30 333 -382 0
14.32 332 -383 2
14.33 332 -384 0
14.35 331 -385 1
14.37 330 -387 1
14.38 330 -388 1
14.40 330 -390 2
14.42 329 -390 0
14.43 329 -391 0
