time left right
6950 -356 -397
6966 -356 -397
6983 -355 -397
7000 -354 -397
7016 -354 -396
7033 -354 -396
7050 -354 -396
7066 -354 -396
7083 -353 -396
7100 -355 -396
7116 -355 -396
7133 -355 -397
7150 -355 -397
7166 -354 -396
7183 -354 -396
7200 -355 -397
7216 -354 -398
7233 -354 -399
7250 -354 -400
7266 -354 -401
7283 -354 -402
7300 -354 -402
7316 -354 -402
7333 -355 -403
7350 -355 -403
7366 -355 -403
7383 -355 -402
7400 -356 -402
7416 -356 -403
7433 -356 -403
7450 -356 -403
7466 -356 -403
7483 -357 -403
7500 -357 -403
7516 -356 -403
7533 -357 -403
7550 -356 -402
7566 -356 -402
7583 -356 -400
7600 -356 -400
7616 -356 -401
7633 -353 -400
7650 -353 -400
7666 -353 -400
7683 -352 -399
7700 -353 -399
7716 -352 -398
7733 -352 -398
7750 -353 -397
7766 -353 -396
7783 -353 -396
7800 -353 -395
7816 -352 -395
7833 -352 -395
7850 -352 -395
7866 -352 -394
7883 -352 -394
7900 -353 -394
7916 -352 -394
7933 -352 -392
7950 -351 -392
7966 -350 -392
7983 -350 -392
8000 -349 -392
8016 -349 -392
8033 -348 -392
8050 -348 -393
8066 -348 -393
8083 -347 -394
8100 -347 -394
8116 -346 -394
8133 -346 -395
8149 -346 -397
8166 -347 -399
8183 -347 -399
8200 -346 -398
8216 -347 -398
8233 -347 -400
8250 -347 -399
8266 -347 -398
8283 -347 -397
8300 -348 -397
8316 -348 -396
8333 -349 -396
8350 -348 -394
8366 -344 -393
8383 -336 -392
8400 -321 -391
8416 -295 -383
8433 -264 -366
8450 -233 -343
8466 -199 -316
8483 -167 -285
8500 -137 -247
8516 -110 -210
8533 -88 -177
8550 -68 -150
8566 -50 -126
8583 -35 -104
8600 -22 -82
8616 -10 -64
8633 -1 -49
8650 6 -36
8666 11 -24
8683 15 -14
8700 17 -6
8716 18 -1
8733 18 2
8750 18 4
8766 16 5
8783 14 6
8800 12 6
8816 10 5
8833 8 5
8850 6 4
8866 5 3
8883 4 2
8900 3 1
8916 2 1
8933 2 0
8950 1 0
8966 1 0
8983 2 0
9000 2 0
9016 2 0
9033 2 0
9050 3 0
9066 3 -1
9083 3 -1
9100 3 -1
9116 4 -1
9133 4 -2
9150 4 -2
9166 5 -2
9183 5 -3
9200 5 -3
9216 6 -3
9233 6 -3
9250 6 -3
9266 6 -3
9283 7 -3
9300 7 -3
9316 6 -3
9333 6 -3
9350 6 -3
9366 5 -3
9383 5 -2
9400 4 -2
9416 3 -2
9433 2 -1
9450 1 -1
9466 0 -1
9483 0 -1
9500 0 -1
9516 0 -1
9533 1 -1
9550 2 -3
9566 5 -7
9583 9 -13
9600 16 -23
9616 26 -36
9633 38 -53
9650 56 -74
9666 78 -98
9683 123 -137
9700 170 -174
9716 209 -204
9733 242 -248
9750 277 -288
9766 305 -322
9783 328 -352
9800 337 -367
9816 340 -380
9833 344 -391
9850 348 -394
9866 347 -395
9883 347 -395
9900 346 -394
9916 346 -394
9933 346 -393
9950 346 -392
9966 346 -392
9983 345 -392
10000 345 -391
10016 345 -391
10033 345 -391
10050 345 -391
10066 344 -391
10083 344 -391
10100 344 -391
10116 345 -391
10133 345 -391
10150 345 -391
10166 345 -392
10183 344 -390
10200 344 -390
10216 344 -391
10233 343 -392
10250 343 -393
10266 343 -394
10283 343 -395
10300 343 -398
10316 343 -398
10333 344 -398
10350 344 -400
10366 344 -399
10383 344 -399
10400 344 -399
10416 344 -398
10433 344 -398
10450 345 -398
10466 345 -398
10483 345 -398
10500 345 -398
10516 345 -398
10533 345 -398
10550 346 -398
10566 346 -398
10583 346 -398
10600 346 -399
10616 347 -398
10633 347 -398
10650 346 -398
10666 346 -397
10683 345 -397
10700 346 -396
10716 346 -395
10733 344 -394
10750 344 -394
10766 344 -393
10783 344 -392
10800 344 -391
10816 344 -390
10833 343 -390
10850 343 -389
10866 343 -389
10883 342 -389
10900 342 -388
10916 342 -388
10933 341 -389
10950 341 -388
10966 340 -387
10983 340 -387
11000 340 -387
11016 339 -387
11033 339 -387
11050 339 -387
11066 339 -387
11083 338 -387
11100 338 -388
11116 337 -388
11133 337 -389
11150 337 -390
11166 337 -389
11183 336 -390
11200 336 -390
11216 335 -391
11233 336 -393
11250 336 -394
11266 336 -394
11283 336 -394
11300 335 -393
11316 335 -394
11333 335 -394
11350 335 -394
11366 335 -394
11383 335 -394
11400 335 -394
11416 336 -394
11433 337 -394
11450 337 -394
11466 336 -394
11483 336 -394
11500 336 -394
11516 337 -394
11533 337 -394
11550 336 -393
11566 337 -393
11583 337 -387
11600 338 -387
11616 338 -388
11633 339 -388
11650 339 -389
11666 339 -389
11683 339 -387
11700 341 -390
11716 339 -389
11733 339 -388
11750 339 -388
11766 339 -384
11783 339 -383
11800 339 -383
11816 337 -383
11833 339 -384
11850 338 -383
11866 338 -383
11883 338 -384
11900 338 -384
11916 338 -384
11933 339 -384
11950 339 -384
11966 340 -384
11983 340 -383
12000 340 -383
12016 340 -384
12033 339 -384
12050 338 -384
12066 337 -384
12083 335 -384
12100 334 -382
12116 333 -382
12133 332 -383
12150 332 -384
12166 331 -385
12183 330 -387
12200 330 -388
12216 330 -390
12233 329 -390
12250 329 -391
12266 329 -391
12283 330 -391
12300 331 -391
12316 330 -390
12333 329 -390
12350 328 -390
12366 328 -390
12383 328 -390
12400 327 -390
12416 326 -391
12433 326 -391
12450 325 -390
12466 325 -390
12483 326 -388
12500 326 -389
12516 327 -383
12533 327 -382
12550 328 -384
12566 328 -384
12583 329 -384
12600 329 -385
12616 329 -384
12633 330 -386
12650 330 -386
12666 330 -385
12683 331 -380
12700 331 -378
12716 331 -379
12733 332 -379
12750 332 -380
12766 332 -380
12783 332 -379
12800 333 -381
12816 333 -381
12833 333 -381
12850 333 -380
12866 333 -380
12883 333 -380
12900 333 -379
12916 332 -379
12933 332 -379
12950 331 -378
12966 331 -377
12983 330 -377
13000 330 -376
13016 328 -375
13033 326 -371
13050 320 -363
13066 310 -349
13083 286 -323
13100 255 -289
13116 220 -254
13133 186 -219
13150 152 -183
13166 120 -150
13183 91 -121
13200 69 -97
13216 52 -79
13233 41 -63
13250 31 -48
13266 24 -37
13283 19 -28
13300 16 -19
13316 13 -13
13333 12 -7
13350 10 -3
13366 9 0
13383 8 1
13400 8 3
13416 8 4
13433 7 5
13450 7 5
13466 7 5
13483 7 5
13500 6 4
13516 6 4
13533 5 3
13550 4 2
13566 3 1
13583 2 0
13600 1 0
13616 0 -1
13633 -1 -1
13650 -2 -2
13666 -3 -2
13683 -4 -3
13700 -4 -3
13716 -4 -3
13733 -3 -3
13750 -2 -3
13766 0 -3
13783 0 -3
13800 2 -3
13816 4 -3
13833 5 -3
13850 7 -3
13866 9 -3
13883 10 -3
13900 11 -3
13916 11 -2
13933 11 -1
13950 7 4
13966 3 13
13983 -3 26
14000 -28 55
14016 -57 88
14033 -89 123
14050 -123 161
14066 -158 199
14083 -195 236
14100 -229 271
14116 -254 298
14133 -276 314
14150 -294 326
14166 -308 334
14183 -317 339
14200 -323 341
14216 -327 341
14233 -330 338
14250 -331 338
14266 -331 338
14283 -331 338
14300 -331 337
14316 -331 336
14333 -331 336
14350 -331 335
14366 -331 335
14383 -331 336
14400 -331 336
14416 -331 336
14433 -330 336
14450 -330 336
14466 -329 337
14483 -329 337
14500 -329 337
14516 -329 338
14533 -328 338
14550 -328 338
14566 -328 338
14583 -328 338
14600 -328 339
14616 -327 340
14633 -327 340
14650 -327 340
14666 -326 341
14683 -327 342
14700 -328 342
14716 -326 342
14733 -326 342
14750 -325 342
14766 -324 343
14783 -324 343
14800 -323 343
14816 -322 344
14833 -322 342
14850 -321 342
14866 -321 343
14883 -321 342
14900 -321 342
14916 -321 342
14933 -321 342
14950 -322 342
14966 -322 342
14983 -322 341
15000 -322 341
15016 -322 341
15033 -322 340
15050 -322 340
15066 -323 340
15083 -323 337
15100 -323 335
