time left right
0 -5 -5
16 -4 -5
33 -2 -4
50 0 0
66 6 8
83 16 21
100 30 40
116 57 63
133 91 93
150 129 126
166 169 162
183 209 199
200 248 235
216 284 271
233 311 299
250 330 321
266 343 337
283 351 348
300 356 355
316 359 359
333 360 359
350 360 360
366 360 360
383 361 361
400 362 361
416 362 361
433 362 361
450 363 362
466 363 362
483 363 362
500 363 362
516 363 364
533 363 363
550 363 363
566 363 363
583 363 362
600 363 362
616 363 362
633 363 361
650 363 360
666 364 360
683 363 360
700 363 359
716 363 359
733 362 359
750 363 359
766 363 359
783 362 358
800 363 358
816 363 357
833 362 357
850 362 356
866 362 356
883 361 355
900 361 355
916 360 354
933 360 354
950 360 354
966 359 353
983 359 353
1000 359 353
1016 359 352
1033 358 352
1050 358 351
1066 358 349
1083 358 350
1100 358 350
1116 358 350
1133 357 351
1150 357 350
1166 357 351
1183 357 351
1200 356 351
1216 357 352
1233 356 352
1250 356 353
1266 355 353
1283 355 354
1300 355 354
1316 355 354
1333 355 354
1350 355 355
1366 354 355
1383 355 355
1400 354 356
1416 355 356
1433 355 357
1450 355 357
1466 355 357
1483 355 357
1500 355 358
1516 356 357
1533 356 357
1550 356 353
1566 356 352
1583 356 354
1600 356 354
1616 356 355
1633 356 355
1650 356 354
1666 356 356
1683 356 356
1700 356 356
1716 352 356
1733 352 356
1750 353 355
1766 353 355
1783 354 354
1800 354 355
1816 353 355
1833 355 355
1850 355 354
1866 354 354
1883 354 353
1900 354 353
1916 354 352
1933 354 352
1950 353 351
1966 353 351
1983 352 350
2000 352 350
2016 351 349
2033 351 349
2050 351 348
2066 351 348
2083 350 347
2100 351 352
2116 351 352
2133 350 351
2150 350 351
2166 349 349
2183 349 350
2200 350 350
2216 350 348
2233 350 348
2250 350 348
2266 349 348
2283 350 349
2300 350 349
2316 350 350
2333 349 350
2350 349 349
2366 349 350
2383 349 351
2400 348 351
2416 348 351
2433 348 351
2450 348 352
2466 348 353
2483 348 353
2500 348 353
2516 348 353
2533 348 353
2550 349 353
2566 349 353
2583 349 355
2600 349 354
2616 349 354
2633 349 354
2650 349 353
2666 349 353
2683 349 353
2700 349 352
2716 349 352
2733 350 352
2750 346 352
2766 346 351
2783 347 351
2800 347 351
2816 348 349
2833 347 350
2850 347 350
2866 349 349
2883 349 350
2900 349 349
2916 349 349
2933 348 349
2950 348 348
2966 347 347
2983 346 347
3000 346 346
3016 346 345
3033 345 345
3050 344 344
3066 343 344
3083 343 344
3100 342 343
3116 342 343
3133 342 342
3150 342 342
3166 341 343
3183 341 343
3200 341 343
3216 340 343
3233 340 343
3250 340 343
3266 340 343
3283 341 344
3300 341 344
3316 340 344
3333 340 345
3350 339 345
3366 339 345
3383 339 346
3400 338 346
3416 338 346
3433 338 347
3450 339 347
3466 338 347
3483 338 347
3500 339 347
3516 340 347
3533 339 347
3550 339 347
3566 339 347
3583 338 346
3600 334 344
3616 329 341
3633 319 339
3650 304 331
3666 284 319
3683 258 303
3700 226 280
3716 193 252
3733 160 219
3750 130 182
3766 104 149
3783 82 120
3800 62 94
3816 46 73
3833 34 56
3850 24 42
3866 18 32
3883 11 24
3900 5 17
3916 2 12
3933 0 8
3950 -2 4
3966 -4 1
3983 -5 0
4000 -5 -1
4016 -5 -3
4033 -4 -3
4050 -4 -4
4066 -3 -4
4083 -3 -4
4100 -2 -3
4116 -2 -3
4133 -1 -3
4150 -1 -2
4166 0 -2
4183 0 -1
4200 0 0
4216 0 0
4233 0 0
4250 0 0
4266 0 0
4283 -1 0
4300 -1 0
4316 -2 0
4333 -3 0
4350 -3 0
4366 -4 0
4383 -4 0
4400 -4 0
4416 -4 0
4433 -3 0
4450 -2 0
4466 -1 0
4483 -1 0
4500 -1 0
4516 -2 -2
4533 -4 -6
4550 -10 -15
4566 -22 -29
4583 -37 -48
4600 -57 -70
4616 -82 -96
4633 -114 -122
4650 -149 -150
4666 -176 -186
4683 -199 -215
4700 -231 -252
4716 -261 -288
4733 -287 -317
4750 -310 -346
4766 -327 -368
4783 -343 -383
4800 -358 -395
4816 -364 -401
4833 -368 -405
4850 -371 -407
4866 -375 -407
4883 -374 -407
4900 -373 -407
4916 -373 -407
4933 -372 -407
4950 -372 -406
4966 -372 -406
4983 -370 -405
5000 -370 -404
5016 -370 -402
5033 -370 -402
5050 -370 -402
5066 -370 -402
5083 -371 -401
5100 -371 -401
5116 -371 -401
5133 -371 -401
5150 -371 -401
5166 -371 -400
5183 -371 -400
5200 -371 -400
5216 -370 -400
5233 -370 -400
5250 -370 -400
5266 -370 -400
5283 -370 -400
5300 -369 -401
5316 -369 -402
5333 -368 -402
5350 -367 -402
5366 -368 -402
5383 -368 -402
5400 -368 -403
5416 -369 -404
5433 -370 -404
5450 -370 -405
5466 -371 -405
5483 -371 -407
5500 -371 -407
5516 -371 -407
5533 -372 -407
5550 -372 -406
5566 -372 -407
5583 -371 -407
5600 -371 -406
5616 -367 -406
5633 -366 -407
5650 -367 -407
5666 -365 -407
5683 -366 -406
5700 -366 -406
5716 -366 -406
5733 -369 -408
5750 -368 -407
5766 -368 -407
5783 -369 -406
5800 -368 -405
5816 -368 -405
5833 -368 -404
5850 -369 -402
5866 -368 -402
5883 -368 -401
5900 -367 -401
5916 -367 -400
5933 -366 -398
5950 -365 -398
5966 -365 -398
5983 -364 -398
6000 -364 -398
6016 -364 -397
6033 -363 -397
6050 -363 -397
6066 -363 -397
6083 -363 -397
6100 -363 -397
6116 -363 -396
6133 -363 -396
6150 -362 -396
6166 -363 -396
6183 -364 -396
6200 -364 -396
6216 -364 -397
6233 -364 -397
6250 -364 -397
6266 -364 -398
6283 -364 -398
6300 -364 -398
6316 -365 -399
6333 -365 -400
6350 -365 -401
6366 -365 -402
6383 -366 -401
6400 -366 -403
6416 -366 -403
6433 -366 -403
6450 -366 -403
